Hi.	สวัสดี
Do whatever you like.	ทำในสิ่งใดก็ได้ที่คุณชอบ
Do you get up at six?	คุณตื่นหกโมงไหม?
Do you have a pencil?	คุณมีดินสอไหม?
Do you have any cash?	คุณมีเงินสดไหม?
Do you have any pets?	คุณมีสัตว์เลี้ยงไหม?
Do you speak English?	คุณพูดภาษาอังกฤษได้ไหม?
Do you understand me?	คุณเข้าใจฉันไหม?
Do you want to dance?	คุณอยากเต้นไหม?
Does Tom like Boston?	ทอมชอบบอสตันไหม?
Don't open your book.	อย่าเปิดหนังสือของคุณ
Don't worry about it!	อย่ากังวลกับมันเลย!
Everyone has secrets.	ทุกคนมีความลับ
Fish live in the sea.	ปลาอาศัยอยู่ในทะเล
Flowers attract bees.	ดอกไม้ดึงดูดผึ้ง
Give me a day or two.	ให้เวลาฉันสักวันสองวัน
Give me three months.	ให้เวลาฉันสามเดือน
Go back to your seat.	กลับไปที่นั่งของคุณ
He arrived too early.	เขามาถึงเร็วเกินไป
He built a new house.	เขาสร้างบ้านใหม่
He crossed the river.	เขาข้ามแม่น้ำ
He is afraid to swim.	เขากลัวที่จะว่ายน้ำ
He is reading a book.	เขากำลังอ่านหนังสือ
He lent me two books.	เขาให้ฉันยืมหนังสือสองเล่ม
He likes watching TV.	เขาชอบดูทีวี
He lost his eyesight.	เขาสูญเสียการมองเห็น
How big is this park?	สวนสาธารณะนี้ใหญ่ขนาดไหน?
How deep is the lake?	ทะเลสาบมีความลึกแค่ไหน?
How far can you swim?	คุณว่ายน้ำได้ไกลแค่ไหน
I always feel hungry.	ฉันรู้สึกหิวเสมอ
I am eating an apple.	ฉันกินแอปเปิ้ล
I am terribly hungry.	ฉันหิวมาก
I bought her a clock.	ฉันซื้อนาฬิกาให้เธอ
I can hear something.	ฉันได้ยินอะไรบางอย่าง
I can see the target.	ฉันเห็นเป้าหมายแล้ว
I can't sleep at all!	ผมนอนไม่หลับเลย
I could make changes.	ผมสามารถทำการเปลี่ยนแปลงได้
I don't go to school.	ฉันไม่ไปโรงเรียน
I fell off the chair.	ผมตกจากเก้าอี้
I forgot his address.	ฉันลืมที่อยู่ของเขา
I go there every day.	ผมไปที่นั่นทุกวัน
I have a few friends.	ฉันมีเพื่อนไม่กี่คน
I have a stomachache.	ฉันปวดท้อง
I have gained weight.	ฉันน้ำหนักขึ้น
I have three cameras.	ฉันมีกล้องสามตัว
I knew this was real.	ผมรู้ว่านี่คือเรื่องจริง
I know her very well.	ฉันรู้จักเธอเป็นอย่างดี
I know her very well.	ฉันรู้จักเธอดี
I know it's not easy.	ฉันรู้ว่ามันไม่ง่าย
I know it's not hard.	ฉันรู้ว่ามันไม่ยาก
I live a simple life.	ฉันใช้ชีวิตเรียบง่าย
I love French movies.	ฉันรักภาพยนตร์ฝรั่งเศส
I met Tom on the way.	ฉันพบทอมระหว่างทาง
I need to study math.	ฉันต้องเรียนคณิตศาสตร์
I paid $200 in taxes.	ฉันจ่ายภาษีไป 200 ดอล
I think I understand.	ฉันคิดว่าฉันเข้าใจ
I think you're right.	ฉันคิดว่าคุณพูดถูก
I'm depending on you.	ฉันขึ้นอยู่กับคุณ
I'm glad you're home.	ผมดีใจที่คุณกลับบ้าน
I'm going to be fine.	ฉันจะสบายดี
I'm in love with you.	ฉันตกหลุมรักคุณแล้ว
I'm looking for work.	ฉันกำลังมองหางาน
I'm not at all tired.	ฉันไม่เหนื่อยทั้งหมดเลย
I'm sorry I can't go.	ฉันขอโทษ ฉันไม่สามารถไปได้
I'm thirty years old.	ฉันมีอายุสามสิบปี
I'm writing a letter.	ฉันกำลังเขียนจดหมาย
I'm your best friend.	ฉันเป็นเพื่อนสนิทของคุณ
I've lost my glasses.	ฉันทำแว่นตาฉันหาย
Is it open on Sunday?	มันเปิดวันอาทิตย์ไหม
Is this pencil yours?	ดินสอนี้เป็นของคุณหรือ?
Is this pencil yours?	ดินสอนี้เป็นของคุณใช่ไหม?
Is this pencil yours?	ดินสอนี้ใช่ของคุณมั๊ย?
It is in the kitchen.	มันอยู่ในห้องครัว
It isn't hard for me.	มันไม่ยากสําหรับผม
It may rain tomorrow.	พรุ่งนี้อาจจะมีฝน
It may rain tomorrow.	ฝนอาจจะตกพรุ่งนี้
It was hot yesterday.	เมื่อวานอากาศโคตรร้อนเลย
It'll cost me my job.	มันจะทำให้ฉันเสียงาน
It's not a classroom.	มันไม่ใช่ห้องเรียน
It's not raining yet.	ฝนยังไม่ตก
Just call the police.	แค่โทรหาตำรวจ
Just close your eyes.	แค่หลับตาของคุณ
Keep the door locked.	ล็อคประตูไว้
Let me say one thing.	ให้ฉันพูดสิ่งนึง
Let's sing and dance.	ร้องเพลงและเต้นรำกันเถอะ
Lincoln died in 1865.	ลินคอล์นเสียชีวิตในปี 1865
Many trees fell down.	ต้นไม้จำนวนมากล้มลง
May I have a receipt?	ฉันขอใบเสร็จได้ไหม?
Nobody spoke with me.	ไม่มีใครพูดกับฉัน
Our fridge is broken.	ตู้เย็นของเราเสีย
Rabbits love carrots.	กระต่ายรักแคร์รอต
Shall we take a taxi?	เราจะนั่งแท็กซี่กันไหม?
She can speak French.	เธอสามารถพูดภาษาฝรั่งเศสได้
She sang pretty well.	เธอร้องเพลงได้ดี
She's as busy as Tom.	เธอยุ่งเหมือนทอม
Sorry for being late.	ขอโทษที่มาสาย
Stop calling me that.	เลิกเรียกผมแบบนั้นได้แล้ว
Sumatra is an island.	สุมาตราเป็นเกาะ
Tell him who you are.	บอกเขาว่าคุณเป็นใคร
Thanks for asking me.	ขอบคุณที่ถามผม
That bicycle is mine.	จักรยานนั่นเป็นของฉัน
That's disappointing.	นั่นน่าผิดหวัง
That's what Tom said.	นั่นคือสิ่งที่ทอมพูด
The beer's very cold.	เบียร์เย็นมาก
The fan doesn't work.	พัดลมไม่ทำงาน
The house is haunted.	บ้านถูกผีสิง
The wind calmed down.	ลมสงบลง
There is a gold coin.	มีเหรียญทอง
There's no food left.	ไม่มีอาหารเหลือ
They deserve respect.	พวกเขาสมควรได้รับความเคารพ
They don't like cats.	พวกเขาไม่ชอบแมว
They're not here yet.	พวกเขายังไม่มา
They're not soldiers.	พวกเขาไม่ใช่ทหาร
This bicycle is mine.	จักรยานนี้เป็นของฉัน
This car is like new.	รถคันนี้เหมือนใหม่
This is Tom's school.	นี่คือโรงเรียนของทอม
This is all my fault.	ทั้งหมดเป็นความผิดของผม
This is for you, Tom.	นี่เพื่อคุณ, ทอม
This is really weird.	นี่มันแปลกจริง ๆ
This tea smells good.	ชานี้มีกลิ่นดี
This will cost €30.	ราคา 30 ยูโรค่ะ/ครับ
Those apples are big.	แอปเปิ้ลเหล่านั้นมีขนาดใหญ่
Tom checked the time.	ทอมดูเวลา
Tom doesn't eat meat.	ทอมไม่กินเนื้อ
Tom had many friends.	ทอมมีเพื่อนมากมาย
Tom has a family now.	ทอมมีครอบครัวแล้ว
Tom has a silk scarf.	ทอมมีผ้าพันคอไหม
Tom hates raw onions.	ทอมเกลียดหัวหอมดิบ
Tom is a wealthy man.	ทอมเป็นคนร่ำรวย
Tom is almost asleep.	ทอมใกล้จะหลับแล้ว
Tom is chopping wood.	ทอมกำลังตัดไม้
Tom is now in prison.	ตอนนี้ทอมอยู่ในคุก
Tom is ready to lead.	ทอมพร้อมที่จะเป็นผู้นำ
Tom is still puzzled.	ทอมยังงงอยู่
Tom is very handsome.	ทอมหล่อมาก
Tom likes to do that.	ทอมชอบทำอย่างนั้น
Tom should talk less.	ทอมควรพูดให้น้อยลง
Tom tends to be late.	ทอมมักจะมาสาย
Tom understands Mary.	ทอมเข้าใจแมรี่
Tom wants to do that.	ทอมต้องการทำเช่นนั้น
Tom was a good boxer.	ทอมเป็นนักมวยที่ดี
Tom works for a bank.	ทอมทำงานให้ธนาคาร
Tom's making his bed.	ทอมจัดเตียงของเขา
Tom's room is locked.	ห้องของทอมล็อกอยู่
Water reflects light.	น้ำสะท้อนแสง
We need to chat soon.	เราต้องคุยกันเร็วๆนี้
We sang while hiking.	เราร้องเพลงขณะเดินป่า
We're ready to leave.	เราพร้อมที่จะออกแล้ว
What do you men want?	ผู้ชายคุณต้องการอะไร
What's my punishment?	อะไรคือบทลงโทษของฉัน?
Where are my glasses?	แว่นตาของฉันอยู่ที่ไหน?
Where is the library?	ห้องสมุดอยู่ที่ไหน?
Where is your father?	พ่อของคุณอยู่ที่ไหน?
Where is your school?	โรงเรียนของคุณอยู่ที่ไหน?
Which ones are Tom's?	อันไหนคือของทอม
Why are you so happy?	ทำไมคุณมีความสุขมาก?
Why doesn't Tom talk?	ทำไมทอมไม่พูด?
Why don't you listen?	ทำไมคุณถึงไม่ฟัง?
Would you like to go?	คุณอยากจะไปไหม?
You aren't my mother.	คุณไม่ใช่แม่ของฉัน
You may use this car.	คุณอาจใช้รถคันนี้
You should head west.	คุณควรมุ่งไปทางทิศตะวันตก
You should let it go.	คุณควรปล่อยมันไป
You're a good mother.	คุณเป็นแม่ที่ดี
You've got to fix it.	คุณต้องแก้ไขมัน
Your answer is wrong.	คำตอบของคุณผิด
Your parents hate me.	พ่อแม่เธอไม่ชอบฉัน
Above all, be patient.	เหนือสิ่งอื่นใด มีความอดทน
All my books are gone.	หนังสือทั้งหมดของผมหายไป
Am I talking too much?	ผมพูดมากเกินไปไหม
Any child can do that.	เด็กทุกคนสามารถทำได้
Are you afraid of Tom?	คุณกลัวทอมไหม?
Are you getting tired?	คุณเหนื่อยไหม?
Are you talking to me?	คุณกำลังพูดกับฉันหรือเปล่า?
Can I open the window?	ฉันเปิดหน้าต่างได้ไหม?
Can you keep a secret?	คุณเก็บไว้เป็นความลับได้ไหม?
Children love to sing.	เด็กๆชอบร้องเพลง
Did Tom pass the exam?	ทอมสอบผ่านไหม
Did you buy Tom a dog?	คุณซื้อสุนัขให้ทอมหรือไม่
Do you enjoy studying?	เธอสนุกกับการเรียนมั้ย?
Do you have a lighter?	คุณมีไฟแช็คไหม?
Do you know your size?	คุณรู้ขนาดของคุณไหม?
Do you like this city?	คุณชอบเมืองนี้ไหม
Do you want to go out?	คุณอยากไปข้างนอกไหม
Does Tom travel a lot?	ทอมเดินทางบ่อยไหม
Does he speak English?	เขาพูดภาษาอังกฤษได้ไหม?
Does she have a piano?	เธอมีเปียโนไหม?
Does she like oranges?	เธอชอบส้มหรือไม่?
Everyone is different.	เราทุกคนต่างกัน
Everyone must do this.	ทุกคนต้องทำอย่างนี้
Everything is working.	ทุกอย่างทำงานได้
Get back in the house.	กลับเข้าบ้านกันเถอะ
Give us three minutes.	ให้เวลาเราสามนาที
Have they arrived yet?	พวกเขามาถึงหรือยัง?
He broke his left arm.	เขาหักแขนซ้ายของเขา
He has a lot of money.	เขามีเงินจำนวนมาก
He hasn't arrived yet.	เขายังมาไม่ถึง
He is good at singing.	เขาร้องเพลงเก่ง
He is wearing glasses.	เขากำลังใส่แว่นตา
He sat reading a book.	เขานั่งอ่านหนังสือ
He shouted, "Get out!"	เขาตะโกน "ออกไป!"
He teaches us English.	เขาภาษาอังกฤษให้พวกเรา
He's not always happy.	เขาไม่ได้มีความสุขเสมอ
He's shorter than Tom.	เขาเตี้ยกว่าทอม
How did you cook this?	คุณทำอาหารนี้ได้อย่างไร
How long did you stay?	คุณอยู่นานแค่ไหน?
How long does it take?	มันจะใช้เวลานานแค่ไหน?
I bet you know French.	ฉันพนันว่าคุณรู้ภาษาฝรั่งเศส
I bought it last week.	ฉันซื้อมันเมื่อสัปดาห์ที่แล้ว
I can't sell you that.	ผมไม่สามารถขายสิ่งนั้นให้คุณได้
I dislike being alone.	ฉันไม่ชอบอยู่คนเดียว
I don't have a sister.	ฉันไม่มีพี่สาวหรือน้องสาว
I don't have time now.	ตอนนี้ฉันไม่มีเวลาแล้ว
I don't know his name.	ฉันไม่รู้ชื่อของเขา
I don't need your job.	ฉันไม่ต้องการงานของคุณ
I don't work at night.	ผมไม่ได้ทำงานตอนกลางคืน
I drank tea yesterday.	ฉันดื่มชาเมื่อวานนี้
I fear we're too late.	ฉันกลัวว่าเราจะสายเกินไป
I found out the truth.	ฉันพบความจริง
I have nothing to say.	ฉันไม่มีอะไรที่จะพูด
I have to go to sleep.	ฉันต้องไปนอนแล้ว
I know it's difficult.	ผมรู้มันยาก
I like dogs very much.	ฉันชอบสุนัขมาก
I like helping people.	ผมชอบช่วยคน
I like to buy clothes.	ฉันชอบซื้อเสื้อผ้า
I love that tradition.	ผมชอบประเพณีนั้น
I never liked biology.	ฉันไม่เคยชอบชีววิทยา
I paid about 50 bucks.	ฉันจ่ายไปประมาณ 50 ดอลลาร์
I said goodbye to Tom.	ฉันบอกลากับทอม
I think we should run.	ผมคิดว่าเราควรวิ่ง
I tried to find a job.	ผมพยายามหางาน
I want to participate.	ฉันต้องการมีส่วนร่วม
I want to say goodbye.	ฉันอยากจะบอกลา
I want to wash my car.	ผมอยากล้างรถ
I was happy yesterday.	เมื่อวานฉันมีความสุข
I wonder what this is.	ผมสงสัยว่านี่คืออะไร
I'd accept that offer.	ผมยอมรับข้อเสนอนั้น
I'd like nothing more.	ผมไม่ต้องการอะไรอีกแล้ว
I'd rather live alone.	ผมขออยู่คนเดียวดีกว่า
I'm going to help you.	ผมจะไปช่วยคุณ
I'm going to miss Tom.	ฉันจะคิดถึงทอม
I'm going to the bank.	ฉันจะไปธนาคาร
I'm leaving it to you.	ฉันจะทิ้งมันไว้กับคุณ
I'm moving next month.	ผมจะย้ายในเดือนหน้า
I'm not on Tom's team.	ฉันไม่ได้อยู่ในทีมของทอม
I'm the one they want.	ฉันเป็นคนที่พวกเขาต้องการ
I've helped Tom a lot.	ฉันช่วยทอมมามากแล้ว
I've never shot a gun.	ผมไม่เคยยิงปืน
Is that what Tom said?	นั่นคือสิ่งที่ทอมพูดหรือเปล่า?
Is that what you said?	นั่นคือสิ่งที่คุณพูดหรือ?
Is your watch correct?	นาฬิกาข้อมือของคุณถูกต้องหรือไม่
It means a great deal.	มันมีความหมายมาก
It's an imported item.	มันเป็นสินค้านำเข้า
It's been a long week.	มันเป็นสัปดาห์ที่ยาวนาน
It's driving me crazy.	มันทำให้ฉันบ้า
It's probably a virus.	มันอาจเป็นไวรัส
It's totally my fault.	มันเป็นความผิดของฉันทั้งหมด
Keep in touch with me.	ติดต่อกับฉัน
Lay down on the couch.	นอนลงบนโซฟา
Let's play volleyball.	มาเล่นวอลเลย์บอลกัน
Like father, like son.	เหมือนพ่อ เหมือนลูกชาย
Mary is a girl's name.	แมรี่เป็นชื่อของเด็กผู้หญิง
May I open the window?	ฉันขอเปิดหน้าต่างได้ไหม?
May I sit next to you?	ฉันขอนั่งข้าง ๆ คุณได้ไหม
My baggage is missing.	สัมภาระของฉันหายไป
Please close the door.	กรุณาปิดประตู
Please don't say that.	กรุณาอย่าพูดอย่างนั้น
Please don't say that.	โปรดอย่าพูดอย่างนั้น
Please don't touch me.	กรุณาอย่าแตะต้องฉัน
Please think about it.	โปรดคิดเกี่ยวกับมัน
Put it where you like.	วางไว้ในตำแหน่งที่คุณชอบ
She agreed to my idea.	เธอเห็นด้วยกับความคิดของฉัน
She refused his offer.	เธอปฏิเสธข้อเสนอของเขา
She's smaller than me.	เธอตัวเล็กกว่าฉัน
That isn't how I feel.	นั่นไม่ใช่สิ่งที่ผมรู้สึก
That isn't quite true.	นั่นไม่จริงเลย
That looks like blood.	นั่นดูเหมือนเลือด
That works every time.	มันได้ผลทุกครั้ง
That's all we ever do.	นั่นคือทั้งหมดที่เราทำ
That's not my mistake.	นั่นไม่ใช่ความผิดผม
The price is going up.	ราคากำลังขึ้น
The streets are clean.	ถนนสะอาด
The wind blew all day.	ลมพัดทั้งวัน
They made me go there.	พวกเขาทำให้ฉันไปที่นั่น
They should apologize.	พวกเขาควรขอโทษ
This is not my ticket.	นี่ไม่ใช่ตั๋วของฉัน
Tom appeared confused.	ทอมดูสับสน
Tom bought some bread.	ทอมซื้อขนมปังมาพอประมาณ
Tom fixed my computer.	ทอมซ่อมคอมพิวเตอร์ของฉัน
Tom has three cameras.	ทอมมีกล้องสามตัว
Tom is at the airport.	ทอมอยู่ที่สนามบิน
Tom is in a book club.	ทอมเป็นสมาชิกของชมรมหนังสือ
Tom is weak in French.	ทอมไม่เก่งภาษาฝรั่งเศส
Tom likes being alone.	ทอมชอบอยู่คนเดียว
Tom might have cancer.	ทอมอาจเป็นมะเร็ง
Tom took all my money.	ทอมเอาเงินทั้งหมดของฉันไป
Tom tore the paper up.	ทอมฉีกกระดาษ
Tomorrow is Christmas.	พรุ่งนี้เป็นวันคริสต์มาส
Wait here for a while.	รอที่นี่สักครู่
We cut the pie in two.	เราตัดพายเป็นสองส่วน
We'll catch up to you.	เราจะติดต่อกลับไปหาคุณ
What were your duties?	หน้าที่ของคุณคืออะไร
What's wrong with you?	เกิดอะไรขึ้นกับคุณ?
Where is the bathroom?	ห้องน้ำอยู่ที่ไหน?
Where is the elevator?	ลิฟต์อยู่ที่ไหน?
Who is in charge here?	ใครเป็นผู้รับผิดชอบที่นี่?
Who is this money for?	เงินนี่สำหรับใคร
Whose side are you on?	คุณอยู่ฝ่ายใด?
Why do you hate women?	ทำไมคุณถึงเกลียดผู้หญิง?
Will it rain tomorrow?	ฝนจะตกไหมพรุ่งนี้
You look pretty tired.	คุณดูเหนื่อยมาก
You must come with me.	คุณต้องมากับฉัน
You need to pay first.	คุณต้องจ่ายเงินก่อน
You recovered quickly.	คุณหายเร็ว
You're very beautiful.	คุณสวยมาก
2539 is a prime number.	2539 เป็นจำนวนเฉพาะ
All I have is one book.	ฉันมีแค่หนังสือเล่มเดียว
Are you Tom's daughter?	คุณใช่ลูกสาวของทอมไหม?
Better late than never.	มาสายดีกว่าไม่มา
Call me when it's done.	โทรหาผมเมื่อเสร็จแล้ว
Charity begins at home.	การกุศลเริ่มต้นที่บ้าน
Could you walk the dog?	คุณช่วยพาสุนัขไปเดินเล่นได้ไหม
Did you have breakfast?	คุณกินข้าวเช้าหรือยัง?
Did you see him go out?	คุณเห็นเขาออกไปไหม?
Do you dream in French?	คุณฝันในภาษาฝรั่งเศสไหม?
Do you know the reason?	คุณรู้เหตุผลไหม?
Do you know who she is?	คุณรู้ไหมว่าเธอเป็นใคร?
Do you like this house?	คุณชอบบ้านหลังนี้ไหม
Do you need more money?	คุณต้องการเงินเพิ่มไหม
Do you see the raccoon?	คุณเห็นแรคคูนไหม
Does that happen often?	มันเกิดขึ้นบ่อยไหม
Every child knows this.	เด็กทุกคนรู้เรื่องนี้
Everything's quiet now.	ตอนนี้ทุกอย่างเงียบสงบ
French isn't difficult.	ภาษาฝรั่งเศสไม่ยาก
Hasn't Tom arrived yet?	ทอมยังไม่มาอีกเหรอ
Have you read this yet?	คุณอ่านนี่หรือยัง
Have you seen the news?	คุณเห็นข่าวไหม
He asked for my advice.	เขาขอคำแนะนำจากฉัน
He attempted to escape.	เขาพยายามหลบหนี
He did nothing but cry.	เขาไม่ทำอะไรนอกจากร้องไห้
He died of lung cancer.	เขาเสียชีวิตด้วยโรคมะเร็งปอด
He kept reading a book.	เขาอ่านหนังสือต่อไป
He stayed at the hotel.	เขาพักที่โรงแรม
He still wants to come.	เขายังคงต้องการที่จะมา
He went to the dentist.	เขาไปหาหมอฟัน
How wide is this river?	แม่น้ำสายนี้กว้างเท่าไหร่?
I admit that I'm wrong.	ฉันยอมรับว่าฉันผิด
I always keep promises.	ฉันรักษาสัญญาเสมอ
I believe Tom is right.	ฉันเชื่อว่าทอมพูดถูก
I bought her a new car.	ฉันซื้อรถใหม่ให้เธอ
I can't find my wallet.	ผมหากระเป๋าตังค์ไม่เจอ
I can't just stay here.	ผมอยู่ที่นี่ไม่ได้
I could never fool you.	ผมไม่เคยหลอกคุณได้
I couldn't stop crying.	ฉันหยุดร้องไห้ไม่ได้
I don't agree with you.	ฉันไม่เห็นด้วยกับคุณ
I don't have any money.	ฉันไม่มีเงินเลย
I don't like it at all.	ฉันไม่ชอบมันเลย
I don't like that name.	ฉันไม่ชอบชื่อนั้น
I don't normally dance.	ปกติผมไม่เต้น
I don't speak Japanese.	ฉันพูดภาษาญี่ปุ่นไม่ได้
I don't understand you.	ฉันไม่เข้าใจคุณ
I have many colleagues.	ผมมีเพื่อนร่วมงานหลายคน
I have no alternatives.	ผมไม่มีทางเลือกอื่น
I have to find the key.	ผมต้องหากุญแจ
I haven't said yes yet.	ผมยังไม่ได้ตอบตกลง
I just want to go home.	ฉันแค่อยากกลับบ้าน
I like speaking French.	ฉันชอบพูดภาษาฝรั่งเศส
I prefer rice to bread.	ผมชอบข้าวมากกว่าขนมปัง
I saw Tom at the party.	ฉันเห็นทอมที่งานเลี้ยง
I think you lied to me.	ฉันคิดว่าคุณโกหกฉัน
I told him to be quiet.	ผมบอกให้เขาเงียบ
I used to believe that.	ผมเคยเชื่ออย่างนั้น
I want to do it myself.	ฉันต้องการทำมันเอง
I was in the mountains.	ตอนนั้นฉันอยู่ในเขา
I was three hours late.	ผมมาสายสามชั่วโมง
I will gladly help you.	ฉันยินดีที่จะช่วยคุณ
I will stay home today.	ฉันจะอยู่บ้านวันนี้
I won't be coming back.	ผมจะไม่กลับมา
I wonder what happened.	ฉันสงสัยว่าเกิดอะไรขึ้น
I'd be glad to do that.	ผมยินดีที่จะทำอย่างนั้น
I'll take them with me.	ผมจะพาพวกเขาไปกับผม
I'll wash my car today.	ผมจะล้างรถวันนี้
I'm a pretty lucky guy.	ผมเป็นคนที่โชคดีมาก
I'm not going with you.	ฉันจะไม่ไปกับคุณ
I'm not here every day.	ผมไม่ได้อยู่ที่นี่ทุกวัน
I'm worried about them.	ฉันเป็นห่วงพวกเขา
I've finished studying.	ผมเรียนจบแล้ว
I've never been abroad.	ฉันไม่เคยไปต่างประเทศ
I've said that already.	ผมเคยพูดไปแล้ว
Is it a recent picture?	นี่เป็นภาพล่าสุดรึเปล่า?
Isn't that what I said?	นั่นคือสิ่งที่ฉันพูดไม่ได้เหรอ?
It doesn't look so bad.	มันดูไม่แย่เลย
It doesn't surprise me.	มันไม่แปลกใจเลยสำหรับฉัน
It isn't an easy sport.	มันไม่ใช่กีฬาที่ง่าย
It just wasn't our day.	มันไม่ใช่วันของเรา
It was in the basement.	มันอยู่ในห้องใต้ดิน
It wasn't made of wood.	มันไม่ได้ทำจากไม้
It's October the third.	วันนี้คือวันที่สามตุลาคม
Just follow your heart.	เพียงทำตามหัวใจของคุณ
Let me cut the carrots.	ฉันขอตัดแครอท
Let's sit on the grass.	มานั่งบนพื้นหญ้ากันเถอะ
Mind your own business!	ไปยุ่งกับเรื่องของตัวเองเถอะ
My wife died of cancer.	ภรรญาของฉันตายจากโรคมะเร็ง
No one sat in the back.	ไม่มีใครนั่งข้างหลัง
Our plans have changed.	แผนของเราเปลี่ยนไปแล้ว
Please show up on time.	กรุณามาตรงเวลา
Please teach me French.	โปรดสอนภาษาฝรั่งเศสให้ฉัน
Rabbits have long ears.	กระต่ายมีหูยาว
She begged him to stay.	เธอขอร้องให้เขาอยู่
She has a lot of money.	เธอมีเงินจำนวนมาก
She writes beautifully.	เธอเขียนอย่างสวยงาม
She's at the hotel now.	เธออยู่ที่โรงแรมแล้วตอนนี้
She's at the hotel now.	ตอนนี้เธออยู่ที่โรงแรมแล้ว
Somebody's watching us.	มีใครบางคนกำลังมองเรา
That's of no use to me.	นั่นไม่มีประโยชน์สำหรับผม
The key is on the desk.	กุญแจอยู่บนโต๊ะ
The man died of cancer.	ชายคนนั้นเสียชีวิตด้วยโรคมะเร็ง
The river has dried up.	แม่น้ำแห้งขอด
The river is dangerous.	แม่น้ำอันตราย
The street is deserted.	ถนนร้าง
The train left on time.	รถไฟออกตรงเวลา
These pearls look real.	ไข่มุกเหล่านี้ดูเหมือนจริง
They agreed on a price.	พวกเขาตกลงราคา
They can understand me.	พวกเขาเข้าใจฉัน
They moved in recently.	พวกเขาพึ่งย้ายเข้ามา
They wanted an apology.	พวกเขาต้องการคำขอโทษ
They went to the beach.	พวกเขาไปที่ชายหาด
This bowl is too small.	ชามนี้เล็กเกินไป
This is a fun activity.	นี่เป็นกิจกรรมที่สนุก
This is mine, isn't it?	นี่เป็นของฉันไม่ใช่เหรอ?
This is our friend Tom.	นี่คือทอมเพื่อนของเรา
Tom admitted he'd lied.	ทอมยอมรับว่าเขาโกหก
Tom always exaggerates.	ทอมพูดเกินจริงเสมอ
Tom couldn't find Mary.	ทอมหาแมรี่ไม่เจอ
Tom died because of me.	ทอมตายเพราะฉัน
Tom had some questions.	ทอมมีคำถามบางอย่าง
Tom has three ex-wives.	ทอมมีภรรยาเก่าสามคน
Tom is good at driving.	ทอมขับรถได้เก่ง
Tom isn't in the truck.	ทอมไม่อยู่ในรถบรรทุก
Tom spoke very quickly.	ทอมพูดเร็วมาก
Tom took off his socks.	ทอมถอดถุงเท้าของเขา
Tom tried to kiss Mary.	ทอมพยายามจูบแมรี่
Tom wants you to do it.	ทอมต้องการให้คุณทำ
We don't like violence.	เราไม่ชอบความรุนแรง
We don't make mistakes.	เราไม่ทำผิดพลาด
We need a little sugar.	เราต้องการน้ำตาลเล็กน้อย
We need to protect Tom.	เราจำเป็นต้องปกป้องทอม
We sometimes meet them.	บางครั้งพวกเราพบพวกเขา
We want the same thing.	เราต้องการสิ่งเดียวกัน
We'll be there at 2:30.	เราจะไปที่นั่นเวลา 2:30 น.
We're going to be fine.	เราจะไม่เป็นไร
We're not millionaires.	เราไม่ใช่เศรษฐี
We've never gone there.	เราไม่เคยไปที่นั่น
Weddings are expensive.	งานแต่งงานมีราคาแพง
What a beautiful night!	ช่างเป็นค่ำคืนที่สวยงาม!
What is the book about?	หนังสือเล่มนี้เกี่ยวกับอะไร?
What is the exact time?	เวลาที่แน่นอนคืออะไร
What's that boy's name?	เด็กชายคนนั้นชื่ออะไร
Where can I get a taxi?	ฉันจะหาแท็กซี่ได้ที่ไหน?
Where did you get that?	คุณได้มันมาจากไหน?
Where's the toothpaste?	ยาสีฟันอยู่ที่ไหน?
Which one will you buy?	คุณจะซื้ออันไหน
Who discovered America?	ใครค้นพบอเมริกา?
Who told you the story?	ใครเล่าเรื่องให้คุณฟัง?
Why are you in my room?	ทำไมคุณถึงอยู่ในห้องของผม
Why aren't you dressed?	ทำไมคุณไม่แต่งตัว
Would you like to come?	คุณอยากจะมาไหม?
You have a good memory.	คุณมีความจำดี
You look like a monkey.	คุณดูเหมือนลิง
You may use my new car.	คุณอาจใช้รถใหม่ของฉัน
You must not do it now.	คุณต้องไม่ทำมันตอนนี้
You're Canadian, right?	คุณเป็นคนแคนาดา ใช่ไหม?
All the apples are gone.	แอปเปิ้ลทั้งหมดหายไป
Are you still out there?	คุณยังอยู่ที่นั่นไหม
Are you working tonight?	คืนนี้คุณทำงานไหม
Aren't these your books?	พวกนี้ไม่ใช่หนังสือของคุณเหรอ?
Barking dogs never bite.	สุนัขเห่าไม่เคยกัด
Barking dogs never bite.	หมาเห่าไม่เคยกัด
Both sisters are pretty.	พี่สาวหรือน้องสาวทั้งสองสวย
Can you get it repaired?	คุณช่วยซ่อมมันได้ไหม
Did you push the button?	คุณกดปุ่มหรือไม่?
Did you push the button?	คุณได้กดปุ่มไหม?
Did you write this book?	คุณได้เขียนหนังสือเล่มนี้ไหม?
Do you love your mother?	คุณรักแม่ของคุณหรือไม่?
Do you shower every day?	คุณอาบน้ำทุกวันหรือไม่?
Everybody has to adjust.	ทุกคนต้องปรับตัว
Everybody laughed at me.	ทุกคนหัวเราะเยาะฉัน
Everyone laughed at him.	ทุกคนหัวเราะเยาะเขา
He got lost in the city.	เขาหลงทางในเมือง
He has written a letter.	เขาเขียนจดหมาย
He is fond of adventure.	เขาชอบผจญภัย
He looked up at the sky.	เขาแหงนหน้ามองท้องฟ้า
