Hello!	Sveiki!
It seems interesting to me.	Man tas liekas interesanti!
It was one of those things.	Tā bija viena no tām lietām.
Japan is full of surprises!	Japāna ir pārsteigumu pilna!
Keep this to yourself, Tom.	Paturi šo pie sevis, Tom.
No one lives in this house.	Šajā mājā neviens nedzīvo.
Nobody lives in this house.	Šajā mājā neviens nedzīvo.
She was washing the dishes.	Viņa mazgāja traukus.
Should I wait for you here?	Vai man tevi vajadzēja gaidīt šeit?
The cows are milked at six.	Govis tiek slauktas sešos.
The flowers cheered her up.	Ziedi viņu uzmundrināja.
They are eating a sandwich.	Viņi ēd sendviču.
This car is very expensive.	Šī automašīna ir ļoti dārga.
Tom has never milked a cow.	Toms nekad nav slaucis govi.
Tom has to change his plan.	Tomam ir jāmaina savs plāns.
Tom is already on the list.	Toms jau ir sarakstā.
Tom is asleep on the bench.	Toms ir aizmidzis uz soliņa.
Tom is asleep on the couch.	Toms ir aizmidzis uz dīvāna.
Tom is awfully quiet today.	Toms šodien ir diezgan kluss.
Tom is quite shy, isn't he?	Toms ir diezgan kautrīgs, vai ne?
Tom traveled around Europe.	Toms ceļoja apkārt Eiropai.
Tom walked around the farm.	Toms apgāja apkārt fermai.
Tom works in a coffee shop.	Toms strādā kafejnīcā.
Tom's death was unexpected.	Toma nāve bija negaidīta.
We have to be very careful.	Mums jābūt ļoti uzmanīgiem.
We'll certainly invite Tom.	Mēs noteikti ielūgsim Tomu.
We've all been here before.	Mēs visi šeit jau esam bijuši.
Well, I'm just checking in.	Es tikai piereģistrējos.
What are you talking about?	Par ko tu runā.
Ask her when she comes back.	Pajautā viņai kad viņa atgriezīsies.
Do you want to go somewhere?	Vai vēlies kaut kur doties?
Do you want to go somewhere?	Vai vēlaties kaut kur doties?
Everyone should've listened.	Visiem vajadzēja klausīties.
Everyone should've listened.	Ikvienam vajadzēja klausīties.
He is almost always at home.	Viņš gandrīz vienmēr ir mājās.
He was extremely mad at him.	Viņš bija ārkārtīgi dusmīgs uz viņu.
He was extremely mad at him.	Viņš bija ārkārtīgi nikns uz viņu.
How could you be so certain?	Kā tu vari būt tik drošs?
I can teach you if you want.	Es varu jūs iemācīt, ja jūs to gribat.
I don't know how I did that.	Es nezinu kā es to izdarīju.
I enlisted in the Air Force.	Es brīvprātīgi pievienojos Gaisa spēkiem.
I have to cook dinner today.	Man šodien jāpagatavo vakariņas
I must go back to Australia.	Man jāatgriežas Austrālijā.
I shouldn't have logged off.	Man nevajadzēja izlogoties.
I try not to think about it.	Es mēģinu par to nedomāt.
I will wait until she comes.	Es gaidīšu kamēr viņa atnāks.
I won't try to convince Tom.	Es nemēģināšu pārliecināt Tomu.
I'd like to get out of here.	Man gribētos no šejienes izkļūt.
I'm an actress, not a model.	Es esmu aktrise, nevis modele.
I'm sorry you feel that way.	Man ir žēl, ka tu jūties tā.
I've never seen you so busy.	Es nekad neesmu redzējis tevi tik aizņemtu.
It is said that she is rich.	Ir teikts, ka viņa ir bagāta.
Let's not waste this chance.	Neizniekosim šo iespēju.
She was almost hit by a car.	Viņu gandrīz notrieca mašīna.
Stop playing with your hair.	Beidz spēlēties ar saviem matiem.
Thanks for your explanation.	Paldies par paskaidrojumu.
That was pretty interesting.	Tas bija diezgan interesanti.
The dog didn't eat the meat.	Suns neapēda gaļu.
They don't want you to know.	Viņi nevēlas, lai tu zini.
Tom is good at playing golf.	Toms labi spēlē golfu.
Tom said he's in Boston now.	Toms teica, ka viņš tagad ir Bostonā.
Tom was obviously disgusted.	Tomam acīmredzami bija riebums.
Tom's bank account is empty.	Toma bankas konts ir tukšs.
We don't have time for this.	Mums tam nav laika.
We really enjoyed ourselves.	Mēs tiešām izbaudījām paši sevi.
Where are your credit cards?	Kur ir tava kredītkarte?
Why don't you come visit us?	Kāpēc tu neapciemo mūs?
You'll sleep better tonight.	Šonakt tu gulēsi labāk.
You're a sailor, aren't you?	Jūs esat jūrnieks, vai ne?
All beginnings are difficult.	Visi sākumi ir grūti.
Can you tell me what this is?	Vai tu vari man pateikt, kas tas ir?
Did you try to listen to her?	Vai tu mēģināji viņā ieklausīties?
Dublin is located in Ireland.	Dublina atrodas Īrijā.
Give me the report on Monday.	Atdodiet man ziņojumu Pirmdien.
How's it going? Are you busy?	Kā iet? Vai tu esi aizņemts?
I can't answer this question.	Es nevaru atbildēt uz šo jautājumu.
I can't get Tom to slow down.	Es nevaru dabūt lai Toms piebremzētu.
I can't get this lock opened.	Es nevaru šo slēdzeni atvērt.
I can't recall who said that.	Es nevaru atcerēties kurš to teica.
I don't think you understand.	Es nedomāju, ka tu saproti.
I have to stay here with you.	Man ar tevi jāpaliek šeit.
I just wanted to be near you.	Es tikai gribēju būt tev tuvumā.
I wish I had a better memory.	Es vēlos, lai man būtu labāka atmiņa.
I'd rather stay in the house.	Es labāk paliktu mājā.
I've got a connecting flight.	Man ir lidojums ar pārsēšanos.
It seemed strange to me, too.	Man arī tas likās savādi.
My husband gave me a red car.	Mans vīrs man iedeva sarkanu mašīnu.
Prices have dropped recently.	Cena ir kritusies nesen.
She advised me where to stay.	Viņa man ieteica, kur palikt.
She dressed up for the party.	Viņa ir saģērbusies ballītei.
She let him drive on his own.	Viņa viņam ļāva braukt pašam.
Some people relax by reading.	Daži cilvēki atpūšas lasot.
That bed is very comfortable.	Tā gulta ir ļoti ērta.
That shop has many customers.	Veikalam ir daudz apmeklētāju.
That's got to stop right now.	Tam tūlīt jābeidzas.
That's the only way to do it.	Ir tikai viens veids, kā to izdarīt.
The car has just been washed.	Tikko nomazgāta automašīna.
There are also fish that fly.	Ir arī zivs kas lido.
Tom and Mary want to see you.	Toms un Marija vēlas jūs redzēt.
Tom drove to the supermarket.	Toms piebrauca pie lielveikala.
Tom hasn't changed very much.	Toms nav daudz mainījies.
Tom is a bit older than Mary.	Toms ir mazliet vecāks par Mariju
Tom is a martial arts expert.	Toms ir cīņas mākslu eksperts.
Tom is vacuuming his bedroom.	Toms ar putekļsūcēju tīra savu guļamistabu.
Tom says Mary is seldom late.	Toms saka, ka Marija reti kavējas.
Tom wanted to wash his hands.	Toms gribēja nomazgāt rokas.
Tom was inattentive in class.	Klasē Toms bija neuzmanīgs.
Tom was inattentive in class.	Toms klasē bija nevērīgs.
We all need to stay together.	Mums visiem jāpaliek kopā.
We don't know where Tom went.	Mēs nezinam kur Toms palika.
You're an artist, aren't you?	Tu esi mākslinieks, vai ne?
Your daughters are beautiful.	Tava meita ir skaista.
Has that ever happened before?	Vai tas jebkad ir noticis pirms tam?
He climbed down from the tree.	Viņš nokāpa no koka.
I admitted I'd made a mistake.	Es atzinu, ka esmu pieļāvusi kļūdu.
I can do it without your help.	Es varu to izdarīt bez tavas palīdzības.
I can only stay a few minutes.	Es varu palikt tikai uz dažām minūtēm.
I didn't know what that meant.	Es nezinu ko tas nozīmē.
I didn't know what to believe.	Es nezinu kam ticēt.
I didn't want to shoot my dog.	Es nevēlos nošaut savu suni.
I don't have to do that today.	Man to šodien nevajag darīt.
I don't know what to tell you.	Es nezinu, ko lai tev saku.
I don't like punk rock at all.	Man nemazs nepatīk roks.
I don't want to die in prison.	Es nevēlos mirt cietumā.
I don't want to do it anymore.	Es to vairs negribu darīt.
I had intended to go shopping.	Es biju domājis doties iepirkties.
I had to wait for a long time.	Man vajadzēja gaidīt ilgu laiku.
I know how much money Tom has.	Es zinu, cik naudas Tomam ir.
I know that Tom is a gardener.	Es zinu, ka Toms ir dārznieks.
I plan to tell them about you.	Manos plānos ir viņiem pastāstīt par tevi.
I think he was speaking Latin.	Es domāju, ka viņš runāja latīniski.
I think that Tom is dangerous.	Es domāju, ka Toms ir bīstams.
I'm sorry, I'm busy right now.	Es atvainojos, es šobrīd esmu aizņemts.
Nothing much is happening yet.	Nekas nav noticis pagaidām.
People should love each other.	Cilvēkiem vajadzētu mīlēt citam citu.
Pick a letter of the alphabet.	Izvēlieties alfabēta burtu.
Please take me to the airport.	Lūdzu aizvediet mani uz lidostu.
Read it one more time, please.	Lūdzu, nolasiet to vēlreiz.
She's really smart, isn't she?	Viņa ir ļoti gudra, vai ne?
Streetcars run on electricity.	Ielu automobiļi darbojas ar elektrību.
Thank you very much, everyone.	Liels paldies, visiem.
That's what Tom will be doing.	Tas ir tas, ko Toms darīs.
The cops won't find you there.	Policisti neatradīs tevi šeit.
The meeting will end tomorrow.	Sanāksme beigsies rīt.
The rain washed away the soil.	Lietus aizskaloja augsni.
The topic is worth discussing.	Šo tēmu ir vērts apspriest.
They did not have enough gold.	Viņiem nebija pietiekoši daudz zelta.
They like to play in the snow.	Viņiem patīk spēlēties sniegā.
This flower is very beautiful.	Šis zieds ir ļoti skaists.
This place is large, isn't it?	Šī vieta ir liela, vai ne?
Tom has never tried to escape.	Toms nekad nav mēģinājis izbēgt.
Tom is Mary's current husband.	Toms ir Marijas pašreizējais vīrs.
Tom is playing the violin now.	Toms šobrīd spēle vijoli.
Tom went to school by bicycle.	Toms ar velosipēdu devās uz skolu.
What are you doing here today?	Ko tu šodien te dari?
What are you doing here today?	Ko jūs šodien šeit darāt?
Why are you talking like that?	Kāpēc tu tā runā?
Why are you talking like that?	Kāpēc jūs tā runājat?
You should clean your glasses.	Jums vajadzētu notīrīt brilles.
You still haven't answered me.	Tu joprojām neesi man atbildējis.
All of my attempts have failed.	Visi mani mēģinājumi ir izgāzušies.
Can't this wait until tomorrow?	Vai šitas nevar pagaidīt līdz rītdienai?
He earns his living by writing.	Viņš nopelna viņa dzīvei rakstot.
He sent his luggage in advance.	Viņš jau iepriekš nosūtīja savu bagāžu.
How do you know this is a fake?	Kā jūs zināt, ka šitas ir viltojums?
How do you know this is a fake?	Kā tu zini, ka šitas ir viltojums?
I can't have any more children.	Man vairs nevar būt bērnu.
I don't know when Tom met Mary.	Nezinu, kad Toms satika Mariju.
I don't want to live by myself.	Es negribu dzīvot viens pats.
I don't want to wait that long.	Es negribu gaidīt tik ilgi.
I forgot to send you an e-mail.	Es aizmirsu jums nosūtīt e-pastu.
I think you've come a long way.	Es domāju, ka jūs esat nogājis garu ceļu.
I thought I put it right there.	Man likās, ka es to noliku tur.
I'll be waiting at the station.	Es gaidīšu stacijā.
It will cost around 10,000 yen.	Tas maksās aptuveni 10000 jēnu.
It's not possible to stop here.	Ir neiespējami šeit apstāties.
My husband is a very good cook.	Mans vīrs ir ļoti labs pavārs.
Please start up the motor, Tom.	Lūdzu, iedarbini motoru, Tom.
Put the cornbread on the table.	Noliec kukurūzas maizi uz galda.
Say it clearly in a loud voice.	Saki to skaidri skaļā balsī.
She asked how to cook the fish.	Viņa jautāja, kā pagatavot zivi.
That surprises you, doesn't it?	Tas tevi pārsteidz, vai ne?
There are some eggs in the box.	Tur ir dažas olas kastē.
They're doing it by themselves.	Viņi to dara paši.
Tom just couldn't help himself.	Toms nevarēja palīdzēt sev.
Tom listened to some sad music.	Toms klausījās skumju mūziku.
Tom locked his keys in his car.	Toms ieslēdza savas atslēgas mašīnā.
Tom seems to have lost his key.	Toms izskatās, ka ir pazaudējis savas atslēgas.
Tom stepped over the threshold.	Toms pārkāpa pār slieksni
Tom stepped over the threshold.	Toms pārkāpa pāri slieksnim
Tom wants to remodel his house.	Toms vēlas pārveidot savu māju.
We don't want to take anything.	Mēs neko nevēlamies ņemt.
We know that Tom is a busy man.	Mēs zinām, ka Toms ir aizņemts cilvēks.
We were surprised by that news.	Mēs bijām pārsteigti par šo ziņu.
We'll have time for that later.	Mums tam laiks būs vēlāk.
What language are you speaking?	Kādā valodā jūs runājat?
What language are you speaking?	Kādā valodā tu runā?
What part don't you understand?	Kuru daļu tu nesaproti?
Ask Tom if he'll stay in Boston.	Pajautā Tomam, vai viņš paliks Bostonā.
Do not cast pearls before swine.	Neber cūkām pērles
How often do you watch the news?	Cik bieži tu skaties ziņas?
I already know a lot about that.	Es par to jau daudz zinu.
I can't let Tom keep doing that.	Es nevaru ļaut Tomam turpināt to darīt.
I didn't quite know what to say.	Es īsti nezināju, ko teikt.
I guess it's too late to say no.	Šķiet, ka ir par vēlu atteikties.
I have a house in the mountains.	Man kalnos ir māja.
I have no time even for reading.	Man nav laika pat lasīšanai.
I heard her singing in her room.	Dzirdēju, ka viņa dzied savā istabā.
I never want to leave Australia.	Es nekad nevēlos pamest Austrāliju.
I'm excited about the challenge.	Esmu saviļņots par izaicinājumu.
I'm going to miss that somewhat.	Man tas mazliet pietrūks.
I'm sure you can do even better.	Esmu pārliecināts ka tu to vari izdarīt vel labāk.
I'm trying very hard not to cry.	Es ļoti cenšos neraudāt.
It's not healthy to eat and run.	Nav veselīgi ēst un skriet.
Learning French isn't difficult.	Mācīties franču valodu nav grūti.
Look at that little hummingbird.	Paskat uz to mazo kolibri.
That restaurant's too expensive.	Tas restorāns ir pārāk dārgs.
That would be counterproductive.	Tas būtu neproduktīvi.
The bride looked very beautiful.	Līgava izskatījās ļoti skaista.
Tom really likes chocolate cake.	Tomam ļoti garšo šokolādes kūka.
Tom told his dad what he'd done.	Toms savam tēvam pateica, ko izdarīja.
Tom told his dad what he'd done.	Toms savam tēvam pateica ko esot izdarījis.
Tom told his dad what he'd done.	Toms pastāstīja tētim, ko izdarījis.
Tom wants the money you owe him.	Toms vēlas naudu, ko tu viņam esi parādā.
Tom was beaming from ear to ear.	Toms staroja no auss līdz ausij.
Tom wasn't wearing a lifejacket.	Toms nebija uzvilcis drošības vesti.
We agonized over that for weeks.	Mēs par to mocījāmies vairākas nedēļas.
We can depend on her to help us.	Mēs varam paļauties, ka viņa mums palīdzēs.
We have to generate new revenue.	Mums ir jārada jauni ieņēmumi.
We often talk about the weather.	Mēs bieži runājam par laika apstākļiem.
We want you to have a good time.	Mēs gribam, lai jūs labi pavadītu laiku.
We went for a walk on the beach.	Mēs devāmies pastaigā pa pludmali.
What time do you arrive at work?	Cikos tu ierodies darbā?
You can't put a price on a life.	Uz dzīvības nevar uzlikt cenu.
You made fewer mistakes than me.	Jūs pieļāvāt mazāk kļūdu nekā es.
Could you turn that down, please?	Vai tu, lūdzu, varētu to izslēgt?
He has a brother and two sisters.	Viņam ir brālis un divas māsas.
He's a professional photographer.	Viņš ir profesionāls fotogrāfs.
How can these problems be solved?	Kā šīs problēmas var atrisināt?
I can't make Tom wait any longer.	Es nevaru likt Tomam ilgāk gaidīt.
I could come to Boston next week.	Bostonā es varētu ierasties nākamnedēļ.
I could come to Boston next week.	Bostonā es varētu ierasties nākošnedēļ.
I could come to Boston next week.	Es nākamnedēļ varētu atbraukt uz Bostonu.
I haven't seen this movie before.	Šo filmu es neesmu pirmstam redzējis.
I love you more than you love me.	Es mīlu tevi vairāk nekā tu mani mīli.
I take the bus to work every day.	Es ar autobusu uz darbu dodos katru dienu.
I thought the show was excellent.	Es domāju, ka šovs bija lielisks.
I tore the newspaper into pieces.	Es saplēsu avīzi druskās.
I've had a lot on my mind lately.	Es pēdējā laikā esmu daudz ko pārdomājis.
Our original plan was to do that.	Mūsu sākotnējais plāns bija to darīt.
She had the decency to apologize.	Viņai pietika pieklājības, lai atvainotos.
Some even accused him of treason.	Daži pat apsūdzēja viņu nodevībā.
The door is opened every morning.	Durvis ir atvērtas katru rītu.
This poem was written last night.	Šis dzejolis tika uztakstīts pagājušonakt.
Tom did that entirely on his own.	Toms to visu paveica pats.
Tom didn't have any money on him.	Tomam nebija naudas.
Tom has three gorgeous daughters.	Tomam ir trīs skaistas meitas.
Tom has to do that before Monday.	Tomam tas ir jāizdara līz pirmdienai.
Tom is likely to need to do that.	Tomam, visticamāk, tas būs jādara.
Tom made us believe in ourselves.	Toms lika mums sev noticēt.
We all had different assignments.	Mums katram bija atšķirīgi uzdevumi.
We protested, but it was in vain.	Mēs protestējām, bet tas bija veltīgi.
You're still a pilot, aren't you?	Tu joprojām esi pilots, vai ne?
You've got to get me out of here.	Tev vajadzētu mani dabūt ārā no šejienes.
Fortunately, the weather was good.	Par laimi, laiks ir labs.
He came from a tiny mountain town.	Viņš nāca no mazas kalnu pilsētiņas.
I had a horrible dream last night.	Man bija slikts sapnis pagājušajā naktī.
I have no idea what that might be.	Man nav ne jausmas, kas tas varētu būt.
I have to help Tom move the piano.	Man jāpalīdz Tomam pārvietot klavieres.
I haven't done that yet this year.	Šogad to vēl neesmu izdarījis.
I used to want to be an architect.	Es mēdzu gribēt kļūt par arhitektu.
I want to buy a necklace for Mary.	Priekš Marijas es gribu nopirkt kaklarotu.
It was a really interesting movie.	Tā bija patiešām interesanta filma.
It's great! You'll laugh for sure.	Tas ir lieliski! Jūs smieties, noteikti.
It's hard to get people to change.	Ir grūti panākt, lai cilvēki mainītos.
Italy is a very beautiful country.	Itālija ir ļoti skaista valsts.
Just look at the mess you've left.	Paskaties uz to bardaku, ko esi atstājis.
My uncle lives next to the school.	Mans onkulis dzīvo blakus skolai.
The plate slipped out of my hands.	Šķīvis izslīdēja viņam no rokām.
The teacher told us a funny story.	Skolotājs mums izstāstīja smieklīgu stāstu.
The world is full of crazy people.	Pasaule ir pilna ar trakiem cilvēkiem.
Tom doesn't know when it happened.	Toms nezina, kad tas notika.
Tom has a high threshold for pain.	Tomam ir augsts sāpju slieksnis
Tom is both a doctor and a writer.	Toms ir gan ārsts, gan rakstnieks.
Tom is safe and in good condition.	Toms ir drošībā un labā stāvoklī.
Tom isn't like other boys his age.	Toms nav līdzīgs citiem zēniem viņa vecumā.
Tom knew what he'd done was wrong.	Toms zināja, ka tas ko viņš tika darījis, bija aplami.
We have a lot of snow in February.	Februārī mums ir daudz sniega.
We must stand up for what's right.	Mums ir jāiestājas par to, kas ir pareizi.
We've been here for quite a while.	Mēs šeit esam jau labu laiku.
What you're suggesting won't work.	Tas, ko jūs iesakāt, nedarbosies.
What's the best sleeping position?	Kāds ir labākais gulēšanas veids?
What's the title of your new book?	Kāds ir Tavas jaunās grāmatas nosaukums?
When you're done, you can go home.	Kad esi pabeidzis, vari doties mājās.
You've got a great sense of humor.	Tev piemīt lieliska humora izjūta.
Choose the color you like the best.	Izvēlies krāsu, kura tev patīk vislabāk.
Do Tom and Mary know that I'm here?	Vai Toms un Marija zina, ka esmu šeit?
Do they have water in their houses?	Vai viņu mājās ir ūdens?
Don't forget to buy some eggs, too.	Neaizmirsti nopirkt arī dažas olas.
He tends to ask a lot of questions.	Viņš mēdz uzdot daudz jautājumu.
Helsinki is the capital of Finland.	Helsinki ir Somijas galvaspilsēta.
I can't understand why he did that.	Es nesaprotu, kāpēc viņš tā darija.
I don't think things will end well.	Nedomāju, ka viss beigsies labi.
I don't want to get you in trouble.	Es nevēlos tevi ievilkt nepatikšanās.
I know that money isn't everything.	Es zinu, ka nauda nav viss.
I love you and I want to marry you.	Es mīlu tevi un gribu tevi precēt.
I told Tom why I went to Australia.	Pastāstīju Tomam, kāpēc es devos uz Austrāliju.
I want you to know that I love you.	Es gribu, lai tu zini, ka es tevi mīlu.
I was glad to hear of your success.	Es priecājos dzirdēt par taviem panākumiem.
I'll always remember your kindness.	Es vienmēr atcerēšos tavu laipnību.
I'm three years younger than he is.	Es esmu trīs gadus jaunāks par viņu.
It's not much of a surprise, is it?	Tas nav daudz priekš pārsteiguma, vai ne?
It's too dark to play baseball now.	Ir pārāk tumšs, lai tagad spēlētu beisbolu.
Maybe she wasn't talking about you.	Varbūt viņa nerunāja par tevi.
Not all Germans like to drink beer.	Ne visiem Vāciem patīk dzert alu.
That looks fun. I'd like to try it.	Tas izskatās jautri. Es labprāt to izmēģinātu.
The daffodils are starting to wilt.	Narcises sāk vīst.
This problem is difficult to solve.	Šo problēmu ir grūti atrisināt.
Tom bought new laces for his shoes.	Toms nopirka jaunas šņores savām kurpēm.
Tom enjoys listening to live music.	Tomam patīk klausīties dzīvajā mūzikā.
Tom finally found his missing keys.	Toms beidzot atrada savas pazudušās atslēgas.
Tom is always making witty remarks.	Toms vienmēr izsaka asprātīgas piezīmes.
Tom kissed Mary gently on the lips.	Toms maigi noskūpstīja Mariju uz lūpām.
Tom said he enjoys studying French.	Toms teica, ka viņam patīk mācīties franču valodu.
Tom was caught sleeping on the job.	Toms tika pieķerts darbā guļot.
Tom was very surprised at the news.	Toms bija ļoti pārsteigts par šiem jaunumiem.
We couldn't find a public bathroom.	Mēs nevarējām atrast publisko tualeti.
Why do you want to borrow my knife?	Kāpēc jūs vēlaties aizņemties manu nazi?
You don't seem too happy to see me.	Tu neizskaties priecīgs mani redzot.
From now on, we'll do that your way.	No šī brīža mēs to darīsim jūsu veidā.
He came in and immediately sat down.	Viņš atnāca un uzreiz apsēdās.
How often do you use your telephone?	Cik bieži tu izmanto savu telefonu?
How often should you wash your hair?	Cik bieži vajadzētu mazgāt matus.
How well do you know your neighbors?	Cik labi tu pazīsti savus kaimiņus?
How will we get this done by Monday?	Kā mēs paspēsim to izdarīt līdz pirmdienai?
How will we overcome these problems?	Kā mēs parvarēsim šo problēmu?
How worried should we be about that?	Cik satrauktiem mums vajadzētu būt par to?
How would you handle this situation?	Kā tu tiktu galā ar šo situāciju?
How would your friends describe you?	Kā tavi draugi tevi aprakstītu?
I know Tom isn't a very good artist.	Es zinu, ka Toms nav pārāk labs mākslinieks.
I spent a few days in the mountains.	Es pavadīju dažas dienas kalnos.
I thought that I put it right there.	Man likās, ka es to noliku tur.
I want you to take it away from Tom.	Es gribu lai tu to atņem Tomam.
I won't ask you anything else today.	Es tev šodien neko citu neprasīšu.
I'll cook for you if you want me to.	Es tev pagatavošu ēst, ja vēlies.
It's time to stock up on provisions.	Ir laiks papildināt krājumus
Mother is in bed. She caught a cold.	Māte ir gultā. Viņai ir temperatūra.
My hope is that that doesn't happen.	Es ceru, ka tas nenotiks.
Please get there as fast as you can.	Lūdzu, tiec tur, cik ātri vien vari.
Please go to the playground to play.	Lūdzu, ej uz spēļu laukumu spēlēties.
Rescuing Tom will be very difficult.	Tomu glābt būs ļoti grūti.
She has a delightful sense of humor.	Viņai ir brīnišķīga humora izjūta.
Someone should've called the police.	Kādam vajadzēja izsaukt policiju.
Spend some time with your kids, too.	Pavadi kādu laiku arī kopā ar saviem bērniem.
The Rosetta Stone was found in 1799.	Rosetta akmens tika atrasts 1799 gadā.
The clock is showing the wrong time.	Pulkstenis rāda nepareizu laiku.
The fund was set up to help orphans.	Fonds tika izveidots, lai palīdzētu bāreņiem.
The white boat went down the stream.	Baltā laiva devās lejup pa straumi.
This wasn't an easy decision for us.	Šis mums nebija viegls lēmums.
To be honest, I don't understand it.	Godīgi sakot, es to nesaprotu.
To tell the truth, I don't like him.	Es saku taisnību, man viņš nepatīk.
Tom had to learn French for his job.	Tomam priekš sava darbu bija jāmācās franču valoda.
Tom said last night he might retire.	Toms vakar vakarā teica, ka varētu doties pensijā.
Tom told me that he found something.	Toms man teica, ka ir kaut ko atradis.
Tom was never very friendly to Mary.	Toms nekad nebija draudzīgs pret Mariju.
Tom wasn't the one who gave me that.	Toms nebija tas kurš man to iedeva.
Tom wasn't the one who told me that.	Toms nebija tas kurš to man pateica.
Tom wrote Mary's number on a napkin.	Toms uz salvetes uzrakstīja Marijas numuru.
We want to take your blood pressure.	Mēs vēlamies pārbaudīt jūsu asinsspiedienu.
What do you think of our collection?	Ko tu domā par mūsu kolekciju?
What was that song you were singing?	Kas tā par dziesmu, ko tu dziedāji?
Why are people afraid of the police?	Kāpēc cilvēki baidās no policijas?
Words can't convey my true feelings.	Vārdi nevar izteikt manas patiesās jūtas.
You may come with us if you want to.	Tu vari nākt ar mums, ja vēlies.
Are you saying that Tom is a traitor?	Vai tu saki, ka Toms ir nodevējs?
Have you noticed anything suspicious?	Vai tu esi ievērojis kaut ko aizdomīgu.
He is too young to go swimming alone.	Viņš ir pārāk jauns, lai dotos peldēties viens pats.
I can't believe Tom really said that.	Es nespēju noticēt ka Toms to pateica.
I didn't want to tell Tom about this.	Es nevēlējos Tomam stāstīt par šo.
I don't care how much money you have.	Man ir vienalga, cik daudz naudas tev ir.
I don't think Tom would've done that.	Es domāju ka Toms to nebūtu darijis.
I had a hard time finding your house.	Man bija grūti atrast jūsu māju.
I know him by sight, but not by name.	Es viņu pazīstu pēc skata, bet ne pēc vārda.
I left the key at the reception desk.	Es atstāju atslēgu reģistratūrā.
I'll probably study French next year.	Es, iespējams, nākamgad mācīšos franču valodu.
I'm sorry. I didn't do it on purpose.	Man žēl. Es to negribēju darīt ar nolūku.
Is it true that Tom wants to do that?	Vai tā ir taisnība, ka Toms vēlas to darīt?
One cannot embrace the unembraceable.	Neviens nevar apskaut neapskaujamo.
Shouldn't Tom be in Australia by now?	Vai Tomam jau nevajadzētu būt Austrālijā?
The sidewalk is still a bit slippery.	Ietve joprojām ir mazliet slidena.
Tom is hoping that Mary will do that.	Toms cer, ka Marija to izdarīs.
Tom knew what was hidden in the cave.	Toms zināja, kas alā slēpjas.
Tom looked more surprised than angry.	Toms izskatījās vairāk pārsteigts nekā dusmīgs.
Tom prefers to park behind the house.	Toms labāk izvēlas novietot mašīnu aiz mājas.
Tom pushed Mary off the diving board.	Toms nogrūda Mēriju no tramplīna.
Tom ran so fast I couldn't catch him.	Toms skrēja tik ātri, ka es nespēju viņu noķert.
Tom wanted to buy a present for Mary.	Toms gribēja nopirkt dāvanu Marijai.
Tom will be able to do that, I think.	Es domāju, ka Toms spēs to izdarīt.
We don't want anyone to find us here.	Mēs negribam, lai mūs šeit kāds atrod.
We'll get through the jungle somehow.	Mēs kaut kā tiksim cauri džungļiem.
Why would you do something like that?	Kāpēc lai tu kaut ko tādu darītu?
Why would you do something like that?	Kāpēc lai jūs kaut ko tādu darītu?
Wouldn't you like to know who she is?	Vai tev patiktos zināt, kas viņa ir?
You apparently don't need to do that.	Tev acīmredzot to nevajag darīt.
A wise man would not say such a thing.	Gudrs cilvēks neko tādu neteiktu.
At least cereal has a long shelf life.	Vismaz graudaugu uzglabāšanas laiks ir ilgs.
Can you show me where the bathroom is?	Vai varat man parādīt, kur ir vannas istaba?
Do you know how to get to Tom's house?	Vai jūs zināt, kā tikt līdz Toma mājai?
He is the fastest runner in our class.	Viņš ir ātrākais skrējējs mūsu klasē.
How did you know Tom was going to die?	Kā tu zināji ka Toms nomirs?
I asked him where I could park my car.	Es viņam jautāju, kur es varētu novietot mašīnu.
I could hardly make out what she said.	Es tik tikko spēju saprast, ko viņa saka.
I never dreamed that I would meet you.	Es nekad nesapņoju, ka tevi satikšu.
I think that I can help you with that.	Es domāju, ka ar to es varu jums palīdzēt.
I wonder how much you know about this.	Es domāju cik daudz tu zini par šo.
I'll be out of town until next Monday.	Es būšu izbraucis līdz nākošajai pirmdienai.
I'm getting tired of your complaining.	Es sāku nogurt no taviem pārmetumiem.
I'm too old to do something like that.	Es esmu par vecu, lai darītu kaut ko tādu.
I've already seen that movie, I think.	Es domāju, ka es esmu jau redzējis to filmu.
I've probably already seen that movie.	Es droši vien esmu jau redzējis to filmu.
It's not something that anyone can do.	Tas nav kaut kas tāds, ko var izdarīt jebkurš.
The donkeys were carrying heavy packs.	Ēzeļi nesa smagas nastas.
There is a traffic jam on the highway.	Uz šosejas ir satiksmes sastrēgums.
This book isn't as heavy as that book.	Šī grāmata nav tik smaga kā tā grāmata.
This is a picture of Tom and his wife.	Šī ir Toma un viņa sievas bilde.
Tom almost always goes to work by car.	Toms gandrīz vienmēr uz darbu dodas ar mašīnu.
Tom cut the wire and defused the bomb.	Toms pārgrieza vadu un atmīnēja bumbu.
Tom said he knew it was time to leave.	Toms teica, ka zina, ka ir pienācis laiks doties prom.
Tom said he wasn't allowed to do that.	Toms teica, ka viņam nebija ļauts to darīt.
Tom wasn't able to solve that problem.	Toms nevarēja atrisināt to problēmu.
Watch your step. The stairs are steep.	Skaties, kur liec kāju. Kāpnes ir stāvas.
We should lock the door when we leave.	Mums vajadzētu aizslēgt durvis, kad mēs aizejam.
